R,G,B
32,32,232
32,32,232
32,28,224
32,28,224
32,28,216
32,32,216
32,32,208
32,32,208
32,32,192
32,32,200
32,32,192
40,32,192
40,32,192
32,32,192
32,28,184
32,28,184
32,32,176
24,28,176
32,24,168
32,24,168
32,20,160
32,24,160
24,24,144
24,24,144
24,20,144
24,20,144
24,20,128
24,20,128
24,20,120
16,16,120
16,12,112
16,12,112
16,12,104
16,12,104
16,12,96
16,8,96
8,12,96
8,12,96
16,8,88
16,8,88
8,12,80
8,12,80
8,12,72
8,12,72
8,12,72
8,12,72
8,8,80
8,8,80
8,8,80
8,8,80
8,12,64
8,8,64
0,4,80
0,4,80
8,8,80
8,4,80
8,8,80
8,8,80
8,8,80
8,8,80
0,4,80
8,4,80
8,4,88
8,4,88
8,4,96
8,4,88
8,4,88
8,8,88
8,8,88
8,8,88
8,8,88
8,8,88
8,8,96
8,12,96
8,8,104
8,8,104
8,12,112
8,12,112
8,12,120
16,12,120
8,12,120
8,12,120
8,12,120
16,12,128
16,12,136
16,12,136
16,16,144
16,16,144
16,12,160
16,16,160
16,16,168
16,16,168
16,20,176
16,20,176
16,16,184
24,16,184
16,20,192
16,20,192
16,16,208
24,20,208
24,24,208
24,24,208
24,24,216
24,24,216
16,24,224
24,24,224
24,28,240
24,28,240
24,28,240
32,28,240
32,28,240
32,28,240
32,32,240
32,32,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,40,248
32,40,248
32,40,248
32,40,248
32,40,248
24,36,248
32,40,248
32,40,248
32,44,248
32,40,248
32,40,248
32,40,248
32,44,248
32,44,248
24,44,248
24,44,248
32,40,248
32,40,248
32,40,248
32,36,248
32,36,248
32,32,248
32,36,248
32,36,248
32,36,248
32,32,248
32,32,248
32,28,248
24,32,248
24,32,248
32,32,240
32,32,240
32,28,232
32,32,232
32,32,232
32,36,232
32,32,224
32,32,232
32,32,224
32,32,224
32,36,216
32,32,216
32,36,208
32,36,208
32,32,200
32,32,200
32,36,192
32,36,192
32,32,192
32,32,192
32,32,184
32,28,184
32,32,176
32,28,168
24,28,168
32,28,168
24,24,160
24,24,160
24,20,144
24,20,144
24,20,144
24,20,144
24,20,136
16,16,128
24,16,120
16,16,120
16,16,104
16,16,104
16,12,104
16,12,104
16,12,96
16,12,96
16,12,96
16,8,88
16,8,88
16,8,88
16,12,80
16,8,80
8,12,80
8,12,80
8,8,80
8,8,80
8,8,72
8,8,80
8,8,80
8,8,80
8,12,72
8,8,64
8,8,88
8,4,80
8,4,80
8,4,80
8,4,80
8,8,80
8,8,80
8,8,80
8,8,88
8,8,88
8,4,96
8,4,88
8,4,96
8,4,96
8,4,88
8,8,88
8,8,88
8,12,88
8,8,96
8,12,96
